#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
1,,Nahir Besara,0,0.21,0,0,1.14,0.03
2,,Jacob Ondrejka,0,0.25,0,0,0.5,0.25
3,,Anton Saletros,0,0.38,0,0,0.75,0.31
4,,Lars Olden Larsen,0,0,0,0,0.67,0.42
5,,Arnór Sigurðsson,0,0.1,0,0,0.9,0.1
6,,Sebastian Nanasi,0,0.31,0,0,0.76,0.1
7,,Anders Christiansen,0,0.25,0,0,0.5,0.13
8,,Mikkel Rygaard Jensen,0,0.1,0,0,0.93,0.24
9,,Simon Skrabb,0,0.23,0,0,1,0.27
10,,Even Hovland,0,0.15,0,0,1.04,0.3
11,,Samuel Gustafson,0,0.1,0,0,1.07,0.28
12,,Maudo Jarjué,0,0,0,0,0,0
13,,Marcus Danielson,0,0.45,0,0,0.97,0.21
14,,Benie Traore,0,0,0,0,0.71,0.36
15,,Zeidane Inoussa,0,0,0,0,1,0.2
16,,Busanello,0,0.38,0,0,0.69,0.12
17,,Sergio Peña,0,0.17,0,0,0.72,0.14
18,,Adam Ingi Benediktsson,4.14,0.14,0.14,0,0.86,0.14
19,,Ioannis Pittas,0,0.31,0,0,1,0.38
20,,Daniel Stensson,0,0.33,0,0,1.19,0.15
21,,Samuel Leach Holm,0,0.22,0,0,1.44,0.3
22,,Arbnor Mucolli,0,0.06,0,0,1,0.18
23,,Hugo Larsson,0,0.42,0,0,0.67,0.08
24,,Johan Larsson,0,0.41,0,0,0.72,0.17
25,,Jeppe Okkels,0,0.03,0,0,0.53,0.17
26,,Marcus Mathisen,0,0.33,0,0,1.25,0.25
27,,Amor Layouni,0,0.07,0,0,1.43,0.07
28,,Rasmus Schüller,0,0.3,0,0,0.7,0.17
29,,Ismet Lushaku,0,0.04,0,0,1.56,0.12
30,,Arnór Traustason,0,0.18,0,0,1.25,0.21
31,,Viktor Đukanović,0,0.08,0,0,0.64,0
32,,Carl Gustafsson,0,0.5,0,0,0.5,0
33,,Simon Gustafson,0,0.18,0,0,0.64,0.18
34,,Oscar Johansson,0,0.2,0,0,0.9,0.23
35,,Samuel Dahl,0,0.38,0,0,0.92,0.15
36,,Johan Hammar,0,0.15,0,0,1.08,0
37,,Wessam Abou Ali,0,0.19,0,0,1.06,0.19
38,,Gustaf Lagerbielke,0,0.38,0,0,0.38,0.25
39,,Derek Cornelius,0,0.32,0,0,0.64,0.2
40,,Tom Pettersson,0,0.33,0,0,0.92,0.21
41,,Alexander Milošević,0,0.33,0,0,0.96,0.25
42,,Isaac Kiese Thelin,0,0.29,0,0,0.75,0.14
43,,Aiham Ousou,0,0.14,0,0,1,0.14
44,,Pontus Jansson,0,0.4,0,0,0.6,0.2
